name,location,line,votes,clears,createdAt,lastConfirmedAt
"Delayed train","Charles/MGH","Red Line - Southbound",1,0,2015-04-09T21:01:04.802Z,2015-04-09T21:01:25.701Z
"Normal conditions","Ashmont","Red Line - Northbound",0,0,2015-05-23T19:13:32.145Z,2015-05-23T19:13:32.145Z
"Train too crowded to board","Park Street","Red Line - Northbound",1,0,2015-03-05T22:12:12.611Z,2015-03-05T22:14:02.476Z
"Normal conditions","Oak Grove","Orange Line - Southbound",0,0,2015-03-04T18:27:46.080Z,2015-03-04T18:27:46.080Z
"Normal conditions","Andrew","Red Line - Northbound",0,0,2015-08-07T22:48:12.796Z,2015-08-07T22:48:12.796Z
"Overcrowded train","State Street","Orange Line - Northbound",0,0,2015-03-04T22:31:10.180Z,2015-03-04T22:31:10.180Z
"Overcrowded train","Community College","Orange Line - Southbound",0,0,2015-03-18T13:18:56.305Z,2015-03-18T13:18:56.305Z
"Delayed train","Brookline Village","Green Line D - Westbound",1,0,2015-03-30T21:58:43.349Z,2015-03-30T22:11:22.868Z
"Overcrowded train","Wellington","Orange Line - Southbound",1,0,2015-02-25T14:21:54.751Z,2015-02-25T14:22:08.159Z
"Delayed train","Forest Hills","Orange Line - Northbound",0,0,2015-06-10T12:33:24.267Z,2015-06-10T12:33:24.267Z
"Normal conditions","Oak Grove","Orange Line - Southbound",0,0,2015-04-10T12:16:34.192Z,2015-04-10T12:16:34.192Z
"Medical emergency","Aquarium","Blue Line - Southbound",0,0,2015-02-27T01:55:08.541Z,2015-02-27T01:55:08.541Z
"Overcrowded train","Sullivan Square","Orange Line - Southbound",0,0,2015-06-01T12:58:28.770Z,2015-06-01T12:58:28.770Z
"Train standing by at station","W. Natick","Framingham-Worcester Line - Inbound",0,0,2015-04-29T12:14:28.744Z,2015-04-29T12:14:28.744Z
"Train standing by at station","Charles/MGH","Red Line - Southbound",2,0,2015-03-18T12:48:39.250Z,2015-03-18T12:53:35.944Z
"Train standing by at station","Back Bay","Orange Line - Northbound",1,0,2015-05-04T21:44:49.571Z,2015-05-04T21:46:10.582Z
"Overcrowded train","Harvard Square","Red Line - Southbound",0,0,2015-04-01T12:20:22.160Z,2015-04-01T12:20:22.160Z
"Delayed train","Kendall","Red Line - Southbound",0,0,2015-07-29T22:03:15.429Z,2015-07-29T22:03:15.429Z
"Delayed train","Hynes Convention Center","Green Line B - Westbound",0,0,2015-04-14T12:55:01.257Z,2015-04-14T12:55:01.257Z
"Normal conditions","Oak Grove","Orange Line - Northbound",0,0,2015-03-17T21:47:21.877Z,2015-03-17T21:47:21.877Z
"Train too crowded to board","Porter Square","Red Line - Southbound",0,1,2015-04-16T12:11:23.275Z,2015-04-16T12:11:23.275Z
"Delayed train","North Station","Green Line C - Westbound",0,0,2015-03-02T18:52:12.205Z,2015-03-02T18:52:12.205Z
"Train standing by at station","Davis","Red Line - Northbound",0,0,2015-04-24T22:43:22.236Z,2015-04-24T22:43:22.236Z
"Delayed train","North Station","Orange Line - Southbound",0,0,2015-07-03T01:25:18.825Z,2015-07-03T01:25:18.825Z
"Train too crowded to board","Wonderland","Blue Line - Northbound",0,1,2015-03-13T16:39:58.021Z,2015-03-13T16:39:58.021Z
"Train stopped between stations","JFK/UMass","Red Line - Northbound",1,0,2015-03-02T17:19:50.498Z,2015-03-02T17:30:07.123Z
"Normal conditions","Harvard Square","Red Line - Northbound",0,0,2015-08-11T14:20:49.574Z,2015-08-11T14:20:49.574Z
"Train too crowded to board","Park Street","Red Line - Southbound",0,0,2015-04-10T21:41:44.867Z,2015-04-10T21:41:44.867Z
"Train stopped between stations","Harvard Square","Red Line - Northbound",0,1,2015-03-05T22:29:58.512Z,2015-03-05T22:29:58.512Z
"Delayed train","Tufts Medical Center","Orange Line - Northbound",0,0,2015-04-20T20:26:36.841Z,2015-04-20T20:26:36.841Z
"Disabled train","Park Street","Red Line - Northbound",0,0,2015-06-25T11:21:25.622Z,2015-06-25T11:21:25.622Z
"Delayed train","Park Street","Red Line - Northbound",0,0,2015-05-15T20:43:06.318Z,2015-05-15T20:43:06.318Z
"Delayed train","Alewife","Red Line - Northbound",0,0,2015-03-03T05:26:08.726Z,2015-03-03T05:26:08.726Z
"Delayed train","Park Street","Red Line - Northbound",0,0,2015-02-25T16:54:27.345Z,2015-02-25T16:54:27.345Z
"Delayed train","Wickford Junction","Providence-Stoughton Line - Inbound",0,0,2015-03-23T09:42:11.861Z,2015-03-23T09:42:11.861Z
"Disabled train","Airport","Blue Line - Southbound",1,0,2015-06-24T12:18:42.149Z,2015-06-24T12:24:38.745Z
"Delayed train","Chinatown","Orange Line - Northbound",0,0,2015-04-22T12:26:54.944Z,2015-04-22T12:26:54.944Z
"Train too crowded to board","Central Square","Red Line - Southbound",0,0,2015-04-01T12:24:35.164Z,2015-04-01T12:24:35.164Z
"Medical emergency","Massachusetts Ave.","Orange Line - Northbound",0,0,2015-03-07T01:31:39.255Z,2015-03-07T01:31:39.255Z
"Delayed train","Boylston","Green Line D - Eastbound",1,0,2015-03-02T11:52:34.124Z,2015-03-02T11:56:01.774Z
"Delayed train","Park Street","Green Line C - Westbound",0,0,2015-03-12T13:03:10.021Z,2015-03-12T13:03:10.021Z
"Train too crowded to board","North Quincy","Red Line - Northbound",0,0,2015-05-14T11:42:19.429Z,2015-05-14T11:42:19.429Z
"Train stopped between stations","State Street","Orange Line - Northbound",1,0,2015-06-15T21:41:05.133Z,2015-06-15T21:46:10.613Z
"Delayed train","Oak Grove","Orange Line - Northbound",1,0,2015-02-27T21:54:42.793Z,2015-02-27T22:02:31.201Z
"Train standing by at station","Assembly","Orange Line - Southbound",1,0,2015-03-26T12:36:31.669Z,2015-03-26T12:37:02.491Z
"Train stopped between stations","Charles/MGH","Red Line - Southbound",4,2,2015-02-24T22:19:08.606Z,2015-02-24T22:54:56.979Z
